"","SampleDate","Station","SpeciesCode","LabSubsample","PlusCount","SpeciesName","MysidOrAmphipod","Phylum","Class","Order","Family","Genus","Species","NativeOrIntro","SalinityPreference","Count"
"141",1972-04-07,"NZ072","Nm",1,4372,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",4472
"142",1972-04-07,"NZ074","Nm",1,3944,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",4044
"143",1972-04-07,"NZ076","Nm",1,2880,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",2980
"144",1972-04-07,"NZD11","Nm",1,1108,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",1208
"145",1972-04-07,"NZD14","Nm",1,0,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",84
"146",1972-04-10,"NZ020","Nm",1,632,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",732
"147",1972-04-10,"NZ022","Nm",1,860,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",960
"148",1972-04-10,"NZ024","Nm",1,656,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",756
"149",1972-04-10,"NZ028","Nm",1,97,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",197
"150",1972-04-10,"NZ030","Nm",1,184,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",284
"151",1972-04-10,"NZ032","Nm",1,1803,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",1904
"152",1972-04-10,"NZ036","Nm",1,1196,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",1296
"153",1972-04-10,"NZ038","Nm",1,980,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",1080
"154",1972-04-10,"NZ040","Nm",1,3446,"Neomysis mercedis","mysid","Arthropoda","Malacostraca","Mysidacea","Mysidae","Neomysis","mercedis","N","fresh-high",3536
